word,sentiment_five,sentiment_binary
ruins,1,1
justified,4,3
acid,3,2
addict,2,1
socialize,4,3
accused,2,1
motivated,5,3
admire,4,3
hell's,2,1
aesthetically,3,2
angels,5,3
absent,2,1
loaner,3,2
worthless,1,1
amaze,4,3
accurately,4,3
neutral,3,2
adventures,3,2
smiley,4,3
secluded,4,3
prepped,3,2
preserve,4,3
progressive,4,3
downsides,2,1
imaginable,3,2
jerks,2,1
disturb,2,1
essentials,5,3
disrespect,2,1
disconnected,1,1
defective,2,1
confirming,4,3
geek,2,1
minimalist,3,2
positively,4,3
effectively,4,3
emotional,3,2
uncommon,3,2
headaches,1,1
unusually,2,1
inconsiderate,2,1
slick,2,1
slippery,2,1
incompetence,1,1
newbies,3,2
crooks,2,1
liars,1,1
